	Tabela
1	DatabaseLog
2	AdventureWorksDWBuildVersion
3	DimAccount
4	DimCurrency
5	DimCustomer
6	DimDate
7	DimDepartmentGroup
8	DimEmployee
9	DimGeography
10	DimOrganization
11	DimProduct
12	DimProductCategory
13	DimProductSubcategory
14	DimPromotion
15	DimReseller
16	DimSalesReason
17	DimSalesTerritory
18	DimScenario
19	FactAdditionalInternationalProductDescription
20	FactCallCenter
21	FactCurrencyRate
22	FactFinance
23	FactInternetSales
24	FactInternetSalesReason
25	FactProductInventory
26	FactResellerSales
27	FactSalesQuota
28	FactSurveyResponse
29	NewFactCurrencyRate
30	ProspectiveBuyer
31	sysdiagrams
